MONTH,YEAR,EKO_TOTAL,EKO_AVG,IKEJA_TOTAL,IKEJA_AVG,LAGOS_TOTAL,LAGOS_AVG
2023-03-01,2023,333485540.0,448.23325268817206,415401500.0,558.3353494623656,748887040.0,1006.5686021505376
2023-04-01,2023,287705950.0,399.5915972222223,361913610.0,502.65779166666664,649619560.0,902.2493888888889
2023-05-01,2023,313056200.0,420.77446236559143,380390990.0,511.27821236559146,693447190.0,932.0526747311828
2023-06-01,2023,295767170.0,410.7877361111111,376356030.0,522.7167083333334,672123200.0,933.5044444444445
2023-07-01,2023,314939020.0,423.30513440860216,385760530.0,518.4953360215054,700699550.0,941.8004704301076
2023-08-01,2023,330275030.0,443.91805107526886,400380620.0,538.145994623656,730655650.0,982.0640456989248
2023-09-01,2023,292688020.0,406.5111388888889,363577370.0,504.9685694444444,656265390.0,911.4797083333333
2023-10-01,2023,337313740.0,453.3786827956989,404295230.0,543.4075672043011,741608970.0,996.7862500000001
2023-11-01,2023,353575440.0,491.077,408315170.0,567.1044027777778,761890610.0,1058.1814027777777
2023-12-01,2023,347824540.0,467.50610215053763,402693470.0,541.2546639784946,750518010.0,1008.7607661290322
2024-01-01,2024,357449250.0,480.4425403225806,408051370.0,548.4561424731183,765500620.0,1028.898682795699
2024-02-01,2024,261785050.0,376.12794540229885,310167370.0,445.6427729885057,571952420.0,821.7707183908046
2024-03-01,2024,327271930.0,439.88162634408604,382150450.0,513.6430779569893,709422380.0,953.5247043010753
2024-04-01,2024,302456050.0,420.07784722222226,373108570.0,518.2063472222222,675564620.0,938.2841944444444
2024-05-01,2024,352508280.0,473.8014516129032,416719980.0,560.1075,769228260.0,1033.9089516129031
2024-06-01,2024,287218220.0,398.91419444444443,347167410.0,482.17695833333335,634385630.0,881.0911527777778
2024-07-01,2024,315080580.0,423.49540322580646,355432190.0,477.731438172043,670512770.0,901.2268413978495
2024-08-01,2024,315896230.0,424.59170698924726,372631090.0,500.8482392473118,688527320.0,925.4399462365591
2024-09-01,2024,352266110.0,489.2584861111111,402609040.0,559.1792222222223,754875150.0,1048.4377083333334
2024-10-01,2024,318060620.0,427.50083333333333,384895810.0,517.3330779569892,702956430.0,944.8339112903225
2024-11-01,2024,321344573.0,446.3119069444445,381724500.0,530.1729166666667,703069073.0,976.4848236111111
2024-12-01,2024,364668470.0,490.1457930107527,423926990.0,569.7943413978495,788595460.0,1059.9401344086023
2025-01-01,2025,405434830.0,544.9392876344085,445106400.0,598.2612903225806,850541230.0,1143.200577956989
2025-02-01,2025,365608400.0,544.060119047619,400038260.0,595.2950297619047,765646660.0,1139.3551488095236
2025-03-01,2025,372620140.0,500.8335215053763,423481460.0,569.1955107526882,796101600.0,1070.0290322580645
2025-04-01,2025,323291570.0,449.01606944444444,393915720.0,547.1051666666667,717207290.0,996.1212361111111
2025-05-01,2025,392647420.0,527.7519086021506,452620400.0,608.360752688172,845267820.0,1136.1126612903226
2025-06-01,2025,335860210.0,466.4725138888889,393445863.0,546.4525874999999,729306073.0,1012.9251013888888
2025-07-01,2025,336883680.0,452.80064516129033,385522713.0,518.1756895161291,722406393.0,970.9763346774193
2025-08-01,2025,325207344.0,437.1066451612903,348244549.0,468.07063037634407,673451893.0,905.1772755376344
2025-09-01,2025,308777860.0,428.8581388888889,351045509.0,487.56320694444446,659823369.0,916.4213458333334
2025-10-01,2025,355799200.0,478.2247311827957,381235360.0,512.4131182795699,737034560.0,990.6378494623656
2025-11-01,2025,360585420.0,500.81308333333334,401678110.0,557.886263888889,762263530.0,1058.6993472222223
2025-12-01,2025,345178840.0,463.9500537634409,389633100.0,523.7004032258064,734811940.0,987.6504569892473
